k=2, N=10, 1000 samples each
Calculation time = 55.1414s
1, 1.0597, 1.13594
2, 186.33, 1594.45
3, 21.512, 349.136
4, 1089.18, 219253
5, 428.78, 250745
6, 9621.37, 5.34725e+07
7, 8858.19, 2.61742e+08
8, 118201, 2.05494e+10
9, 158314, 1.11346e+11
10, 1.82812e+06, 2.73338e+13
11, 4.13981e+06, 5.02606e+14
12, 3.44494e+07, 1.84553e+16
13, 8.93932e+07, 1.44846e+17
14, 6.17595e+08, 6.41089e+18
15, 2.45427e+09, 1.11085e+21
16, 1.25007e+10, 2.68187e+21
17, 5.37775e+10, 3.32998e+23
18, 2.45107e+11, 2.1224e+24
19, 1.21536e+12, 6.15133e+25
20, 5.56331e+12, 1.02966e+27
21, 5.09495e+13, 4.91172e+29
22, 1.79534e+15, 2.79801e+33
23, 7.83573e+14, 4.41582e+31
24, 2.29757e+16, 3.00763e+35
25, 2.82029e+16, 1.45093e+35
26, 1.81856e+17, 3.14192e+36
27, 3.80287e+18, 4.70596e+39
28, 3.60655e+18, 4.42587e+39
29, 3.38806e+19, 1.97036e+41
30, 9.64221e+19, 1.83038e+42
31, 9.79887e+20, 3.72387e+44
32, 3.6603e+21, 7.04737e+45
33, 1.59268e+22, 2.44141e+46
34, 4.40145e+24, 1.11193e+52
35, 6.18144e+24, 3.55007e+52
36, 5.95461e+25, 2.82224e+54
37, 8.07749e+24, 9.11843e+51
38, 1.48747e+28, 2.1969e+59
39, 1.43239e+28, 2.00065e+59
40, 6.48523e+26, 1.6709e+56
