k=2, N=10, 1000 samples each
Calculation time = 43.6493s
1, 2.15378, 1.09539
2, 1.69952, 0.879762
3, 1.49297, 0.532081
4, 1.492, 0.352737
5, 1.24199, 0.191507
6, 1.31603, 0.115538
7, 1.1176, 0.0642777
8, 1.12287, 0.0371355
9, 1.06769, 0.0200876
10, 1.06318, 0.0119287
11, 1.02226, 0.00696349
12, 1.03881, 0.00366285
13, 1.01469, 0.00195098
14, 1.01669, 0.00111876
15, 1.00981, 0.000724424
16, 1.0106, 0.000415235
17, 1.00437, 0.000254261
18, 1.00639, 0.000145346
19, 1.00248, 8.09378e-05
20, 1.00317, 4.99692e-05
21, 1.00164, 3.54581e-05
22, 1.00209, 2.25875e-05
23, 1.00107, 1.53252e-05
24, 1.00133, 8.33198e-06
25, 1.00062, 4.74369e-06
26, 1.00082, 3.82945e-06
27, 1.00047, 5.48108e-06
28, 1.00042, 1.45237e-06
29, 1.0003, 1.2647e-06
30, 1.00025, 8.50222e-07
31, 1.00018, 6.79991e-07
32, 1.00019, 2.61059e-07
33, 1.00013, 5.18818e-07
34, 1.00012, 1.63481e-07
35, 1.0001, 2.25655e-07
36, 1.00006, 4.41833e-08
37, 1.00007, 3.6359e-07
38, 1.00005, 2.42617e-08
39, 1.00002, 8.92296e-09
40, 1.00003, 2.09793e-08
