m, c, val,
400, 795.775, 2.33353e-07,
400, 1591.55, 2.72573e-07,
400, 2387.32, 5.80732e-07,
400, 3183.1, 1.04748e-06,
400, 3978.87, 1.38845e-06,
400, 4774.65, 2.01903e-06,
400, 5570.42, 2.62891e-06,
400, 6366.2, 3.45032e-06,
400, 7161.97, 4.43319e-06,
400, 7957.75, 5.31516e-06,
400, 8753.52, 6.4953e-06,
400, 9549.3, 7.75847e-06,
400, 10345.1, 8.95305e-06,
400, 11140.8, 1.04451e-05,
400, 11936.6, 1.18786e-05,
400, 12732.4, 1.3565e-05,
400, 13528.2, 1.53484e-05,
400, 14323.9, 1.7118e-05,
400, 15119.7, 1.91284e-05,
400, 15915.5, 2.12205e-05,
400, 16711.3, 2.3305e-05,
400, 17507, 2.55914e-05,
400, 18302.8, 2.80348e-05,
400, 19098.6, 3.03948e-05,
400, 19894.4, 3.30257e-05,
400, 20690.1, 3.57827e-05,
400, 21485.9, 3.84478e-05,
400, 22281.7, 4.13899e-05,
400, 23077.5, 4.44557e-05,
400, 23873.2, 4.74269e-05,
400, 24669, 5.06753e-05,
400, 25464.8, 5.40455e-05,
400, 26260.6, 5.73545e-05,
400, 27056.3, 6.0874e-05,
400, 27852.1, 6.4544e-05,
400, 28647.9, 6.815e-05,
400, 29443.7, 7.20049e-05,
400, 30239.4, 7.59769e-05,
400, 31035.2, 7.98429e-05,
400, 31831, 8.39897e-05,
400, 32626.8, 8.82517e-05,
400, 33422.5, 9.24475e-05,
400, 34218.3, 9.6886e-05,
400, 35014.1, 0.000101437,
400, 35809.9, 0.000105923,
400, 36605.6, 0.00011061,
400, 37401.4, 0.000115443,
400, 38197.2, 0.000120208,
400, 38993, 0.000125209,
400, 39788.7, 0.000130319,
400, 40584.5, 0.000135362,
400, 41380.3, 0.000140636,
400, 42176.1, 0.000146018,
400, 42971.8, 0.000151332,
400, 43767.6, 0.000156875,
400, 44563.4, 0.000162522,
400, 45359.2, 0.000168136,
400, 46154.9, 0.000173936,
400, 46950.7, 0.000179839,
400, 47746.5, 0.000185674,
400, 48542.3, 0.00019173,
400, 49338, 0.000197886,
400, 50133.8, 0.000203973,
400, 50929.6, 0.000210278,
400, 51725.4, 0.000216711,
400, 52521.1, 0.000223036,
400, 53316.9, 0.000229578,
400, 54112.7, 0.000236219,
400, 54908.5, 0.000242814,
400, 55704.2, 0.000249586,
400, 56500, 0.000256454,
400, 57295.8, 0.000263242,
400, 58091.6, 0.000270273,
400, 58887.3, 0.000277363,
400, 59683.1, 0.000284367,
400, 60478.9, 0.000291614,
400, 61274.7, 0.00029892,
400, 62070.4, 0.000306163,
400, 62866.2, 0.000313585,
400, 63662, 0.000321101,
400, 64457.8, 0.000328535,
400, 65253.5, 0.000336164,
400, 66049.3, 0.000343908,
400, 66845.1, 0.000351498,
400, 67640.9, 0.000359353,
400, 68436.6, 0.000367095,
400, 69232.4, 0.000375056,
400, 70028.2, 0.000383065,
400, 70823.9, 0.000391008,
400, 71619.7, 0.000399154,
400, 72415.5, 0.000407335,
400, 73211.3, 0.00041544,
400, 74007, 0.000423721,
400, 74802.8, 0.000432108,
400, 75598.6, 0.000440363,
400, 76394.4, 0.000448808,
400, 77190.1, 0.000457183,
400, 77985.9, 0.00046575,
400, 78781.7, 0.000474355,
400, 79577.5, 0.000482859,
402, 795.775, 2.23209e-07,
402, 1591.55, 2.73548e-07,
402, 2387.32, 5.82438e-07,
402, 3183.1, 1.05101e-06,
402, 3978.87, 1.4464e-06,
402, 4774.65, 2.08951e-06,
402, 5570.42, 2.88807e-06,
402, 6366.2, 3.78254e-06,
