A, 403.188, B, 3642.41, C, 0.316488
Final cost, 6.24545e-19
p, exact, fitted
240, 5.40551e-11, 2.97783e-11
241.6, 5.48381e-11, 3.02471e-11
243.2, 5.56443e-11, 3.07306e-11
244.8, 5.64748e-11, 3.12294e-11
246.4, 5.73305e-11, 3.17443e-11
248, 5.82125e-11, 3.22759e-11
249.6, 5.9122e-11, 3.2825e-11
251.2, 6.006e-11, 3.33923e-11
252.8, 6.10278e-11, 3.39788e-11
254.4, 6.20268e-11, 3.45853e-11
256, 6.30584e-11, 3.52128e-11
257.6, 6.41239e-11, 3.58622e-11
259.2, 6.52251e-11, 3.65347e-11
260.8, 6.63635e-11, 3.72314e-11
262.4, 6.75409e-11, 3.79534e-11
264, 6.87592e-11, 3.87022e-11
265.6, 7.00204e-11, 3.9479e-11
267.2, 7.13266e-11, 4.02854e-11
268.8, 7.26801e-11, 4.11229e-11
270.4, 7.40833e-11, 4.19933e-11
272, 7.55388e-11, 4.28984e-11
273.6, 7.70494e-11, 4.384e-11
275.2, 7.8618e-11, 4.48204e-11
276.8, 8.02479e-11, 4.58418e-11
278.4, 8.19423e-11, 4.69067e-11
280, 8.37051e-11, 4.80176e-11
281.6, 8.55402e-11, 4.91775e-11
283.2, 8.74519e-11, 5.03895e-11
284.8, 8.94447e-11, 5.16569e-11
286.4, 9.15237e-11, 5.29835e-11
288, 9.36943e-11, 5.43732e-11
289.6, 9.59625e-11, 5.58304e-11
291.2, 9.83346e-11, 5.736e-11
292.8, 1.00818e-10, 5.89673e-11
294.4, 1.03419e-10, 6.06581e-11
296, 1.06148e-10, 6.24388e-11
297.6, 1.09013e-10, 6.43169e-11
299.2, 1.12025e-10, 6.63002e-11
300.8, 1.15195e-10, 6.83978e-11
302.4, 1.18536e-10, 7.062e-11
304, 1.22061e-10, 7.29785e-11
305.6, 1.25788e-10, 7.54866e-11
307.2, 1.29733e-10, 7.81599e-11
308.8, 1.33919e-10, 8.10171e-11
310.4, 1.38368e-10, 8.40806e-11
312, 1.43108e-10, 8.73788e-11
313.6, 1.48174e-10, 9.09501e-11
315.2, 1.53605e-10, 9.48536e-11
316.8, 1.59438e-10, 9.92138e-11
318.4, 1.65686e-10, 1.05228e-10
320, 1.72409e-10, 1.09838e-10
321.6, 1.7966e-10, 1.15324e-10
323.2, 1.87502e-10, 1.21414e-10
324.8, 1.96005e-10, 1.28112e-10
326.4, 2.05246e-10, 1.35342e-10
328, 2.15313e-10, 1.43889e-10
329.6, 2.26303e-10, 1.53721e-10
331.2, 2.38325e-10, 1.64583e-10
332.8, 2.515e-10, 1.76753e-10
334.4, 2.6596e-10, 1.9044e-10
336, 2.81852e-10, 2.05856e-10
337.6, 2.99332e-10, 2.23227e-10
339.2, 3.18569e-10, 2.42795e-10
340.8, 3.39746e-10, 2.64816e-10
342.4, 3.63052e-10, 2.89556e-10
344, 3.88685e-10, 3.17289e-10
345.6, 4.1685e-10, 3.48291e-10
347.2, 4.47753e-10, 3.82831e-10
348.8, 4.81596e-10, 4.21168e-10
350.4, 5.18577e-10, 4.63535e-10
352, 5.5888e-10, 5.10135e-10
353.6, 6.0267e-10, 5.61128e-10
355.2, 6.50087e-10, 6.1662e-10
356.8, 7.01237e-10, 6.76649e-10
358.4, 7.56187e-10, 7.41181e-10
360, 8.14954e-10, 8.10094e-10
361.6, 8.775e-10, 8.83174e-10
363.2, 9.43722e-10, 9.60108e-10
364.8, 1.01345e-09, 1.04048e-09
366.4, 1.08643e-09, 1.12377e-09
368, 1.16235e-09, 1.20936e-09
369.6, 1.24079e-09, 1.29654e-09
371.2, 1.32127e-09, 1.38453e-09
372.8, 1.40321e-09, 1.47246e-09
374.4, 1.48598e-09, 1.55944e-09
376, 1.56886e-09, 1.64452e-09
377.6, 1.65108e-09, 1.72678e-09
379.2, 1.73182e-09, 1.8053e-09
380.8, 1.81024e-09, 1.8792e-09
382.4, 1.88546e-09, 1.94767e-09
384, 1.95661e-09, 2.00999e-09
385.6, 2.02285e-09, 2.06554e-09
387.2, 2.08335e-09, 2.11382e-09
388.8, 2.13736e-09, 2.15446e-09
390.4, 2.18418e-09, 2.18723e-09
392, 2.22323e-09, 2.21202e-09
393.6, 2.254e-09, 2.22886e-09
395.2, 2.27611e-09, 2.23788e-09
396.8, 2.28931e-09, 2.23935e-09
398.4, 2.29345e-09, 2.23358e-09
400, 2.28856e-09, 2.22099e-09
401.6, 2.27476e-09, 2.20201e-09
403.2, 2.2523e-09, 2.17714e-09
404.8, 2.22158e-09, 2.14685e-09
406.4, 2.18306e-09, 2.11164e-09
408, 2.13735e-09, 2.07195e-09
409.6, 2.08508e-09, 2.02823e-09
411.2, 2.02699e-09, 1.98087e-09
412.8, 1.96385e-09, 1.93023e-09
414.4, 1.89645e-09, 1.87664e-09
416, 1.82561e-09, 1.82039e-09
417.6, 1.75212e-09, 1.76174e-09
419.2, 1.67677e-09, 1.70096e-09
420.8, 1.60032e-09, 1.63827e-09
422.4, 1.52347e-09, 1.57391e-09
424, 1.44687e-09, 1.50814e-09
425.6, 1.3711e-09, 1.44122e-09
427.2, 1.29671e-09, 1.37342e-09
428.8, 1.22412e-09, 1.30504e-09
430.4, 1.15374e-09, 1.23641e-09
432, 1.08587e-09, 1.16785e-09
433.6, 1.02076e-09, 1.09971e-09
435.2, 9.58594e-10, 1.03235e-09
436.8, 8.9949e-10, 9.66119e-10
438.4, 8.43522e-10, 9.01356e-10
440, 7.90712e-10, 8.38389e-10
441.6, 7.41043e-10, 7.77521e-10
443.2, 6.94462e-10, 7.1902e-10
444.8, 6.50887e-10, 6.63121e-10
446.4, 6.10215e-10, 6.10014e-10
448, 5.72322e-10, 5.59848e-10
449.6, 5.37074e-10, 5.12724e-10
451.2, 5.04328e-10, 4.68698e-10
452.8, 4.73937e-10, 4.27786e-10
454.4, 4.45749e-10, 3.8996e-10
456, 4.19618e-10, 3.55159e-10
457.6, 3.95398e-10, 3.23287e-10
459.2, 3.72948e-10, 2.94223e-10
460.8, 3.52136e-10, 2.67827e-10
462.4, 3.32834e-10, 2.43939e-10
464, 3.14922e-10, 2.22392e-10
465.6, 2.98288e-10, 2.0301e-10
467.2, 2.82829e-10, 1.85616e-10
468.8, 2.68448e-10, 1.70035e-10
470.4, 2.55056e-10, 1.56096e-10
472, 2.42571e-10, 1.43635e-10
473.6, 2.30918e-10, 1.32494e-10
475.2, 2.20027e-10, 1.22523e-10
476.8, 2.09829e-10, 1.13566e-10
478.4, 2.00307e-10, 1.05372e-10
480, 1.91391e-10, 9.80166e-11
481.6, 1.83028e-10, 9.21506e-11
483.2, 1.75174e-10, 8.66589e-11
484.8, 1.67788e-10, 8.16386e-11
486.4, 1.60835e-10, 7.71122e-11
488, 1.54283e-10, 7.34312e-11
489.6, 1.481e-10, 6.84246e-11
491.2, 1.42262e-10, 6.47185e-11
492.8, 1.36742e-10, 6.14269e-11
494.4, 1.31519e-10, 5.84353e-11
496, 1.26573e-10, 5.56888e-11
497.6, 1.21884e-10, 5.31519e-11
499.2, 1.17435e-10, 5.07982e-11
500.8, 1.13211e-10, 4.86069e-11
502.4, 1.09197e-10, 4.65611e-11
504, 1.05379e-10, 4.46464e-11
505.6, 1.01746e-10, 4.28508e-11
507.2, 9.82852e-11, 4.11634e-11
508.8, 9.49867e-11, 3.95751e-11
510.4, 9.18406e-11, 3.80778e-11
512, 8.88379e-11, 3.6664e-11
513.6, 8.59703e-11, 3.53275e-11
515.2, 8.32298e-11, 3.40623e-11
516.8, 8.06094e-11, 3.28633e-11
518.4, 7.81022e-11, 3.17257e-11
520, 7.57019e-11, 3.06453e-11
521.6, 7.34028e-11, 2.96181e-11
523.2, 7.11993e-11, 2.86406e-11
524.8, 6.90864e-11, 2.77096e-11
526.4, 6.70593e-11, 2.68221e-11
528, 6.51136e-11, 2.59753e-11
529.6, 6.32449e-11, 2.51668e-11
531.2, 6.14496e-11, 2.43943e-11
532.8, 5.97238e-11, 2.36556e-11
534.4, 5.80641e-11, 2.29487e-11
536, 5.64673e-11, 2.22719e-11
537.6, 5.49304e-11, 2.16234e-11
539.2, 5.34504e-11, 2.10017e-11
540.8, 5.20247e-11, 2.04052e-11
542.4, 5.06507e-11, 1.98327e-11
544, 4.93261e-11, 1.92829e-11
545.6, 4.80486e-11, 1.87546e-11
547.2, 4.6816e-11, 1.82466e-11
548.8, 4.56263e-11, 1.7758e-11
550.4, 4.44777e-11, 1.72878e-11
552, 4.33683e-11, 1.6835e-11
553.6, 4.22964e-11, 1.63989e-11
555.2, 4.12604e-11, 1.59786e-11
556.8, 4.02587e-11, 1.55733e-11
558.4, 3.929e-11, 1.51824e-11
560, 3.83528e-11, 1.48052e-11
